epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,train_alc_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
18,A,0.0540607237204347,0.06060680634570571,0.04751464130602918,0.0,0.0,0.0,0.0,,0.00027664918882530225,28.113701105117798,,,,,,,
19,A,0.05208233814194517,0.05907574211651424,0.045088934053157295,0.0,0.0,0.0,0.0,,0.00027406208614118424,28.093425989151,,,,,,,
20,A,0.050288894284024555,0.05722097209039724,0.043356816258000315,0.0,0.0,0.0,0.0,0.8206146870340619,0.0002713525491562421,28.127827882766724,0.7225202322006226,0.8764328956604004,0.924861490726471,0.7621534466743469,0.8243224620819092,0.9243532419204712,0.7096590399742126
21,B,2.438256379006044,0.3350409508313773,0.4246453038012644,2186.754004712375,-0.46786310003613524,0.4178763875421488,0.022431597421121486,,0.00026852325185635354,33.034512758255005,,,,,,,
22,B,1.3681127395270005,0.18318747208928163,0.18423824992804033,1318.0419950665168,-0.4837959459367788,0.42853133703740137,0.022459402645252785,,0.00026557698641636835,32.712159872055054,,,,,,,
23,B,1.157854269135673,0.15208994976754459,0.14410337334815063,1146.7543404057342,-0.4922123524659085,0.4319447248049502,0.02246384756674744,,0.0002625166604445689,32.666738748550415,,,,,,,
24,B,1.013036941301148,0.13186926043258523,0.11923039108866228,1027.7487240197524,-0.5001451870742833,0.4347512242647837,0.022462727466844162,,0.0002593452941132117,32.61989188194275,,,,,,,
25,B,0.9087665038851073,0.12173782710759144,0.10838691029205637,936.8600204755675,-0.5072793052443918,0.43744027220977927,0.022473116668890108,0.7804125462259565,0.0002560660171779821,32.77291798591614,0.6759819984436035,0.8740005493164062,0.8861757516860962,0.6953819394111633,0.7703359723091125,0.9256200194358826,0.6353915929794312
26,B,0.8485748731302765,0.1285470501994187,0.1181182724617,870.5704601935621,-0.5129095535233336,0.4400108629521334,0.022475415779242537,,0.0002526820658893033,33.28758692741394,,,,,,,
27,B,0.751775971279954,0.10948774246674664,0.09404694482262405,798.7490421511093,-0.5216158679071462,0.44377537999513017,0.02247271236945998,,0.00024919677979854776,32.91468596458435,,,,,,,
28,B,0.6862350145600876,0.10420426529533458,0.08843897089783875,741.6835534437647,-0.5293817688833993,0.44718839115691633,0.02247199535651027,,0.00024561359846230347,32.975656032562256,,,,,,,
29,B,0.6323988839702787,0.10167750659978615,0.08650955780989157,692.8415461126364,-0.5365966803060388,0.4505547909241802,0.02246837639513443,,0.0002419360580479465,32.973071813583374,,,,,,,
30,B,0.49565778518060466,0.12244166743080571,0.11150534370176073,629.9949854724812,-0.8388105903593999,0.6679156495715087,0.022312895983527852,0.7569150243486676,0.000238167787843871,33.21532702445984,0.6355516910552979,0.874305784702301,0.8722038269042969,0.6070782542228699,0.7835131883621216,0.9017521142959595,0.6240003108978271
31,B,0.2691596085732838,0.10518665752320919,0.09134908470342744,424.43309999861805,-0.8515475113999169,0.6843912666136364,0.02269112357412869,,0.0002343125066778196,33.02168393135071,,,,,,,
32,B,0.20116306988979285,0.10054442005337409,0.08601697274255303,363.75841090364275,-0.8587919122205591,0.6895339705471722,0.022728175364153565,,0.00023037401924684946,33.136091232299805,,,,,,,
33,B,0.15371144267747988,0.09486443760260097,0.07886377867873547,324.9008220456681,-0.864722877178552,0.6926905808021437,0.022705809995180595,,0.00022635621236255567,33.013155937194824,,,,,,,
