epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,train_alc_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
22,B,1.3958580763834827,0.17854349118358684,0.18234802627900862,1343.033670677329,-0.47226076615306567,0.4295704426630488,0.022327036719839526,,0.00026557698641636835,32.21668195724487,,,,,,,
23,B,1.189541942106103,0.1491820716632987,0.1418675364891313,1174.3553869859227,-0.47871130957918345,0.43160448209294733,0.022324839536592644,,0.0002625166604445689,31.993946075439453,,,,,,,
24,B,1.0601488368691139,0.13681829425523867,0.12871609937469913,1060.153803987323,-0.48453382205850676,0.43351552171527213,0.02231628701688265,,0.0002593452941132117,32.121443033218384,,,,,,,
25,B,0.9628241883133942,0.1294987347890746,0.11796429718159279,974.2452464553545,-0.490480882379244,0.43589062988758087,0.02230331002084433,0.7495695863451276,0.0002560660171779821,32.11919689178467,0.6675645112991333,0.7967389225959778,0.9202744960784912,0.6553599834442139,0.746439516544342,0.8916413187980652,0.5689683556556702
26,B,0.8733172068056071,0.11924247977868566,0.10711820356828987,898.0346561647812,-0.4973161407517937,0.43858050667452364,0.022302186415302305,,0.0002526820658893033,32.32982802391052,,,,,,,
27,B,0.8023840824388108,0.11390789359245661,0.09978527689950084,835.8216256195644,-0.5035642457177054,0.4415323477027551,0.022297406068317732,,0.00024919677979854776,32.25527787208557,,,,,,,
28,B,0.7403514958777517,0.10989399226206653,0.09645831254574488,780.1056720085863,-0.510320633649826,0.4444607528594305,0.022295299293649085,,0.00024561359846230347,32.255696058273315,,,,,,,
29,B,0.6818566415107475,0.10516048461761114,0.09013895476061218,729.9858435864719,-0.5176061436815081,0.44763884904249657,0.02228801552522576,,0.0002419360580479465,32.22726011276245,,,,,,,
30,B,0.32426563235667516,0.11415021993079276,0.10341351495106828,450.3975349282319,-0.8106760132425236,0.677234022122509,0.02231417338029956,0.7905363781111581,0.000238167787843871,32.40636491775513,0.6870628595352173,0.8702131509780884,0.9347257018089294,0.7436701059341431,0.762965738773346,0.9305983185768127,0.6045187711715698
31,B,0.19720738746647565,0.09951653682960654,0.08265525845916204,347.1593070839936,-0.8310819040491896,0.6935407204448052,0.022358765403898258,,0.0002343125066778196,32.40908694267273,,,,,,,
32,B,0.15733510069549084,0.09820038783100415,0.08345486019861023,310.1427438124171,-0.838251087744281,0.697491928653897,0.02234557079467571,,0.00023037401924684946,32.491373777389526,,,,,,,
33,B,0.12269936368431685,0.0936925894809219,0.07790851983118732,283.5107342702038,-0.8452783136997583,0.6996380152567377,0.02235428974875864,,0.00022635621236255567,32.467448711395264,,,,,,,
